
 gen_loss = 0.053, dis_loss = 0.044, gen_acc = 0.984, dis_acc = 1.000
 gen_loss = 0.048, dis_loss = 0.135, gen_acc = 0.984, dis_acc = 0.969
 gen_loss = 0.029, dis_loss = 0.060, gen_acc = 0.984, dis_acc = 0.984
 gen_loss = 0.032, dis_loss = 0.201, gen_acc = 0.984, dis_acc = 0.938
 gen_loss = 0.017, dis_loss = 0.070, gen_acc = 0.984, dis_acc = 0.977
 gen_loss = 0.011, dis_loss = 0.108, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.010, dis_loss = 0.042, gen_acc = 1.000, dis_acc = 0.984
 gen_loss = 0.006, dis_loss = 0.104, gen_acc = 1.000, dis_acc = 0.984
 gen_loss = 0.091, dis_loss = 0.092, gen_acc = 0.969, dis_acc = 0.984
 gen_loss = 0.012, dis_loss = 0.025, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.001, dis_loss = 0.063, gen_acc = 1.000, dis_acc = 0.977
 gen_loss = 0.043, dis_loss = 0.037, gen_acc = 0.984, dis_acc = 0.992
 gen_loss = 0.002, dis_loss = 0.056, gen_acc = 1.000, dis_acc = 0.977
 gen_loss = 0.014, dis_loss = 0.020, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.018, dis_loss = 0.259, gen_acc = 0.984, dis_acc = 0.953
 gen_loss = 0.024, dis_loss = 0.147, gen_acc = 1.000, dis_acc = 0.969
 gen_loss = 0.042, dis_loss = 0.054, gen_acc = 0.984, dis_acc = 0.984
 gen_loss = 0.015, dis_loss = 0.178, gen_acc = 1.000, dis_acc = 0.969
 gen_loss = 0.015, dis_loss = 0.040, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.036, dis_loss = 0.074, gen_acc = 0.984, dis_acc = 0.977
 gen_loss = 0.075, dis_loss = 0.206, gen_acc = 0.984, dis_acc = 0.969
 gen_loss = 0.038, dis_loss = 0.098, gen_acc = 0.969, dis_acc = 0.992
 gen_loss = 0.025, dis_loss = 0.072, gen_acc = 1.000, dis_acc = 0.984
 gen_loss = 0.023, dis_loss = 0.123, gen_acc = 1.000, dis_acc = 0.969
 gen_loss = 0.063, dis_loss = 0.109, gen_acc = 0.969, dis_acc = 0.969
 gen_loss = 0.011, dis_loss = 0.070, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.024, dis_loss = 0.164, gen_acc = 0.984, dis_acc = 0.969
 gen_loss = 0.058, dis_loss = 0.264, gen_acc = 1.000, dis_acc = 0.914
 gen_loss = 0.045, dis_loss = 0.176, gen_acc = 1.000, dis_acc = 0.953
 gen_loss = 0.038, dis_loss = 0.134, gen_acc = 0.984, dis_acc = 0.960
 gen_loss = 0.045, dis_loss = 0.087, gen_acc = 0.969, dis_acc = 0.992
 gen_loss = 0.139, dis_loss = 0.253, gen_acc = 0.953, dis_acc = 0.953
 gen_loss = 0.061, dis_loss = 0.229, gen_acc = 0.984, dis_acc = 0.930
 gen_loss = 0.126, dis_loss = 0.220, gen_acc = 0.953, dis_acc = 0.938
 gen_loss = 0.061, dis_loss = 0.177, gen_acc = 1.000, dis_acc = 0.961
 gen_loss = 0.117, dis_loss = 0.208, gen_acc = 0.969, dis_acc = 0.922
 gen_loss = 0.097, dis_loss = 0.244, gen_acc = 0.969, dis_acc = 0.898
 gen_loss = 0.132, dis_loss = 0.228, gen_acc = 0.922, dis_acc = 0.922
 gen_loss = 0.111, dis_loss = 0.199, gen_acc = 0.953, dis_acc = 0.930
 gen_loss = 0.412, dis_loss = 0.389, gen_acc = 0.828, dis_acc = 0.859
 gen_loss = 0.582, dis_loss = 0.350, gen_acc = 0.750, dis_acc = 0.781
 gen_loss = 0.568, dis_loss = 0.371, gen_acc = 0.797, dis_acc = 0.734
 gen_loss = 0.587, dis_loss = 0.369, gen_acc = 0.719, dis_acc = 0.766
 gen_loss = 0.592, dis_loss = 0.382, gen_acc = 0.719, dis_acc = 0.789
 gen_loss = 0.584, dis_loss = 0.387, gen_acc = 0.750, dis_acc = 0.742
 gen_loss = 0.696, dis_loss = 0.388, gen_acc = 0.594, dis_acc = 0.750
 gen_loss = 0.626, dis_loss = 0.372, gen_acc = 0.750, dis_acc = 0.758
 gen_loss = 0.608, dis_loss = 0.401, gen_acc = 0.766, dis_acc = 0.688
 gen_loss = 0.682, dis_loss = 0.388, gen_acc = 0.516, dis_acc = 0.688
 gen_loss = 0.680, dis_loss = 0.361, gen_acc = 0.578, dis_acc = 0.781
 gen_loss = 0.525, dis_loss = 0.415, gen_acc = 0.797, dis_acc = 0.727
 gen_loss = 0.348, dis_loss = 0.363, gen_acc = 0.797, dis_acc = 0.766
 gen_loss = 0.209, dis_loss = 0.285, gen_acc = 0.891, dis_acc = 0.875
 gen_loss = 0.225, dis_loss = 0.264, gen_acc = 0.891, dis_acc = 0.898
 gen_loss = 0.105, dis_loss = 0.235, gen_acc = 0.969, dis_acc = 0.938
 gen_loss = 0.056, dis_loss = 0.168, gen_acc = 1.000, dis_acc = 0.945
 gen_loss = 0.138, dis_loss = 0.203, gen_acc = 0.953, dis_acc = 0.945
 gen_loss = 0.057, dis_loss = 0.132, gen_acc = 0.969, dis_acc = 0.945
 gen_loss = 0.042, dis_loss = 0.057, gen_acc = 0.984, dis_acc = 0.977
 gen_loss = 0.043, dis_loss = 0.103, gen_acc = 0.984, dis_acc = 0.953
 gen_loss = 0.024, dis_loss = 0.090, gen_acc = 1.000, dis_acc = 0.969
 gen_loss = 0.036, dis_loss = 0.035, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.014, dis_loss = 0.044, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.024, dis_loss = 0.039, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.029, dis_loss = 0.098, gen_acc = 1.000, dis_acc = 0.984
 gen_loss = 0.019, dis_loss = 0.037, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.072, dis_loss = 0.088, gen_acc = 0.969, dis_acc = 0.977
 gen_loss = 0.025, dis_loss = 0.119, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.092, dis_loss = 0.068, gen_acc = 0.953, dis_acc = 0.977
 gen_loss = 0.022, dis_loss = 0.052, gen_acc = 1.000, dis_acc = 0.984
 gen_loss = 0.046, dis_loss = 0.038, gen_acc = 0.969, dis_acc = 0.992
 gen_loss = 0.013, dis_loss = 0.041, gen_acc = 1.000, dis_acc = 0.984
 gen_loss = 0.007, dis_loss = 0.055, gen_acc = 1.000, dis_acc = 0.969
 gen_loss = 0.068, dis_loss = 0.200, gen_acc = 0.953, dis_acc = 0.960
 gen_loss = 0.045, dis_loss = 0.056, gen_acc = 0.984, dis_acc = 1.000
 gen_loss = 0.026, dis_loss = 0.061, gen_acc = 1.000, dis_acc = 0.977
 gen_loss = 0.032, dis_loss = 0.099, gen_acc = 1.000, dis_acc = 0.984
 gen_loss = 0.038, dis_loss = 0.111, gen_acc = 1.000, dis_acc = 0.984
 gen_loss = 0.037, dis_loss = 0.107, gen_acc = 1.000, dis_acc = 0.984
 gen_loss = 0.255, dis_loss = 0.327, gen_acc = 0.969, dis_acc = 0.953
 gen_loss = 0.075, dis_loss = 0.181, gen_acc = 0.969, dis_acc = 0.969
 gen_loss = 0.039, dis_loss = 0.096, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.027, dis_loss = 0.056, gen_acc = 1.000, dis_acc = 0.984
 gen_loss = 0.045, dis_loss = 0.140, gen_acc = 0.984, dis_acc = 0.953
 gen_loss = 0.017, dis_loss = 0.054, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.060, dis_loss = 0.170, gen_acc = 0.969, dis_acc = 0.960
 gen_loss = 0.065, dis_loss = 0.088, gen_acc = 0.953, dis_acc = 0.992
 gen_loss = 0.089, dis_loss = 0.141, gen_acc = 0.969, dis_acc = 0.977
 gen_loss = 0.068, dis_loss = 0.053, gen_acc = 0.984, dis_acc = 0.984
 gen_loss = 0.026, dis_loss = 0.088, gen_acc = 1.000, dis_acc = 0.960
 gen_loss = 0.022, dis_loss = 0.123, gen_acc = 1.000, dis_acc = 0.977
 gen_loss = 0.030, dis_loss = 0.060, gen_acc = 0.984, dis_acc = 0.984
 gen_loss = 0.021, dis_loss = 0.055, gen_acc = 1.000, dis_acc = 0.977
 gen_loss = 0.027, dis_loss = 0.026, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.012, dis_loss = 0.055, gen_acc = 1.000, dis_acc = 0.977
 gen_loss = 0.022, dis_loss = 0.047, gen_acc = 1.000, dis_acc = 0.984
 gen_loss = 0.014, dis_loss = 0.048, gen_acc = 1.000, dis_acc = 0.984
 gen_loss = 0.032, dis_loss = 0.030, gen_acc = 0.969, dis_acc = 0.992
 gen_loss = 0.006, dis_loss = 0.051, gen_acc = 1.000, dis_acc = 0.969
 gen_loss = 0.011, dis_loss = 0.048, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.023, dis_loss = 0.033, gen_acc = 1.000, dis_acc = 0.984
 gen_loss = 0.013, dis_loss = 0.016, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.008, dis_loss = 0.035, gen_acc = 1.000, dis_acc = 0.984
 gen_loss = 0.005, dis_loss = 0.157, gen_acc = 1.000, dis_acc = 0.984
 gen_loss = 0.011, dis_loss = 0.037, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.027, dis_loss = 0.176, gen_acc = 0.984, dis_acc = 0.952
 gen_loss = 0.054, dis_loss = 0.216, gen_acc = 0.984, dis_acc = 0.961
 gen_loss = 0.017, dis_loss = 0.053, gen_acc = 1.000, dis_acc = 0.984
 gen_loss = 0.023, dis_loss = 0.066, gen_acc = 1.000, dis_acc = 0.977
 gen_loss = 0.028, dis_loss = 0.095, gen_acc = 0.984, dis_acc = 0.992
 gen_loss = 0.047, dis_loss = 0.109, gen_acc = 0.984, dis_acc = 0.984
 gen_loss = 0.033, dis_loss = 0.033, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.061, dis_loss = 0.046, gen_acc = 0.969, dis_acc = 0.984
 gen_loss = 0.020, dis_loss = 0.140, gen_acc = 1.000, dis_acc = 0.976
 gen_loss = 0.032, dis_loss = 0.100, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.030, dis_loss = 0.070, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.047, dis_loss = 0.031, gen_acc = 0.984, dis_acc = 1.000
 gen_loss = 0.017, dis_loss = 0.017, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.035, dis_loss = 0.109, gen_acc = 1.000, dis_acc = 0.984
 gen_loss = 0.039, dis_loss = 0.033, gen_acc = 0.984, dis_acc = 0.992
 gen_loss = 0.025, dis_loss = 0.095, gen_acc = 1.000, dis_acc = 0.969
 gen_loss = 0.025, dis_loss = 0.014, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.045, dis_loss = 0.026, gen_acc = 0.984, dis_acc = 1.000
 gen_loss = 0.022, dis_loss = 0.111, gen_acc = 1.000, dis_acc = 0.977
 gen_loss = 0.038, dis_loss = 0.048, gen_acc = 0.984, dis_acc = 0.984
 gen_loss = 0.014, dis_loss = 0.042, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.019, dis_loss = 0.046, gen_acc = 1.000, dis_acc = 0.977
 gen_loss = 0.027, dis_loss = 0.026, gen_acc = 1.000, dis_acc = 0.984
 gen_loss = 0.028, dis_loss = 0.124, gen_acc = 1.000, dis_acc = 0.969
 gen_loss = 0.017, dis_loss = 0.019, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.006, dis_loss = 0.021, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.007, dis_loss = 0.018, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.007, dis_loss = 0.033, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.065, dis_loss = 0.009, gen_acc = 0.969, dis_acc = 1.000
 gen_loss = 0.013, dis_loss = 0.043, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.019, dis_loss = 0.097, gen_acc = 1.000, dis_acc = 0.977
 gen_loss = 0.006, dis_loss = 0.035, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.037, dis_loss = 0.114, gen_acc = 1.000, dis_acc = 0.952
 gen_loss = 0.016, dis_loss = 0.042, gen_acc = 1.000, dis_acc = 0.984
 gen_loss = 0.053, dis_loss = 0.031, gen_acc = 0.984, dis_acc = 0.992
 gen_loss = 0.019, dis_loss = 0.038, gen_acc = 1.000, dis_acc = 0.984
 gen_loss = 0.066, dis_loss = 0.035, gen_acc = 0.969, dis_acc = 0.992
 gen_loss = 0.011, dis_loss = 0.019, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.030, dis_loss = 0.043, gen_acc = 0.969, dis_acc = 0.977
 gen_loss = 0.025, dis_loss = 0.026, gen_acc = 0.984, dis_acc = 0.984
 gen_loss = 0.029, dis_loss = 0.021, gen_acc = 0.984, dis_acc = 1.000
 gen_loss = 0.005, dis_loss = 0.016, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.010, dis_loss = 0.109, gen_acc = 1.000, dis_acc = 0.984
 gen_loss = 0.022, dis_loss = 0.034, gen_acc = 0.984, dis_acc = 0.984
 gen_loss = 0.034, dis_loss = 0.030, gen_acc = 0.984, dis_acc = 1.000
 gen_loss = 0.011, dis_loss = 0.013, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.010, dis_loss = 0.033, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.009, dis_loss = 0.017, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.005, dis_loss = 0.011, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.015, dis_loss = 0.024, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.024, dis_loss = 0.017, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.022, dis_loss = 0.016, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.008, dis_loss = 0.005, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.024, dis_loss = 0.136, gen_acc = 0.984, dis_acc = 0.977
 gen_loss = 0.024, dis_loss = 0.031, gen_acc = 0.984, dis_acc = 0.984
 gen_loss = 0.012, dis_loss = 0.031, gen_acc = 1.000, dis_acc = 0.984
 gen_loss = 0.015, dis_loss = 0.006, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.016, dis_loss = 0.013, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.002, dis_loss = 0.041, gen_acc = 1.000, dis_acc = 0.984
 gen_loss = 0.007, dis_loss = 0.015, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.001, dis_loss = 0.006, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.010, dis_loss = 0.037, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.004, dis_loss = 0.015, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.006, dis_loss = 0.012, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.003, dis_loss = 0.053, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.002, dis_loss = 0.050, gen_acc = 1.000, dis_acc = 0.977
 gen_loss = 0.022, dis_loss = 0.057, gen_acc = 1.000, dis_acc = 0.984
 gen_loss = 0.008, dis_loss = 0.019, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.007, dis_loss = 0.024, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.008, dis_loss = 0.026, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.007, dis_loss = 0.020, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.006, dis_loss = 0.007, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.003, dis_loss = 0.007, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.023, dis_loss = 0.012, gen_acc = 0.984, dis_acc = 0.992
 gen_loss = 0.015, dis_loss = 0.112, gen_acc = 1.000, dis_acc = 0.992
 gen_loss = 0.006, dis_loss = 0.012, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.027, dis_loss = 0.003, gen_acc = 0.984, dis_acc = 1.000
 gen_loss = 0.048, dis_loss = 0.022, gen_acc = 0.984, dis_acc = 0.984
 gen_loss = 0.015, dis_loss = 0.019, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.009, dis_loss = 0.010, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.013, dis_loss = 0.013, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.006, dis_loss = 0.011, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.021, dis_loss = 0.107, gen_acc = 1.000, dis_acc = 0.984
 gen_loss = 0.002, dis_loss = 0.011, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.014, dis_loss = 0.007, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.032, dis_loss = 0.016, gen_acc = 0.984, dis_acc = 1.000
 gen_loss = 0.004, dis_loss = 0.018, gen_acc = 1.000, dis_acc = 1.000
 gen_loss = 0.010, dis_loss = 0.017, gen_acc = 1.000, dis_acc = 0.992
